id,occupancy_status,unit_status,units_in_building,unit_floor,year_built,bedrooms
12105009,1,6,1,-2,3,3
12105022,1,6,1,-2,4,3
12105031,1,6,1,-2,4,3
12105056,1,2,9,5,5,1
12105071,1,32,7,5,2,2
12105107,1,2,9,4,4,0
12105133,1,80,7,1,10,1
12105153,1,80,5,2,4,3
12105159,1,90,9,5,3,1
12105163,4,4,4,2,4,1
12105177,1,32,10,6,11,1
12105182,1,80,3,0,3,1
12105199,1,32,7,3,2,1
12105200,1,97,10,6,7,1
12105235,1,5,8,1,5,1
12105236,1,80,2,2,5,3
12105247,1,2,10,3,6,1
12105251,1,32,10,3,11,2
12105252,1,6,3,3,1,1
12105263,1,6,2,0,4,4
12105265,1,32,10,5,10,1
12105270,1,80,2,0,5,1
12105334,1,32,8,1,4,1
12105340,1,32,8,4,3,2
12105346,1,6,3,1,3,3
12105355,1,80,2,1,3,2
12105357,1,80,6,3,8,2
12105359,1,32,5,1,4,3
12105360,1,32,9,5,4,1
12105368,1,80,9,4,10,1
12105384,1,12,5,2,8,2
12105396,1,80,3,3,9,2
12105399,1,32,8,3,11,2
12105407,1,32,7,1,2,2
12105444,1,32,10,2,3,1
12105465,1,32,7,4,4,2
12105473,1,5,8,3,5,1
12105491,1,80,2,-2,2,1
12105502,1,2,9,4,3,1
12105507,1,97,10,6,11,3
12105509,1,32,9,2,6,0
12105514,1,32,8,1,4,1
12105534,1,80,2,1,1,2
12105551,1,80,2,2,4,1
12105564,1,80,3,1,2,3
12105572,1,32,10,6,6,2
12105576,1,32,10,1,6,1
12105579,4,4,2,2,4,3
12105604,1,2,10,5,6,1
12105614,1,6,1,-2,2,4
12105618,1,32,5,1,4,3
12105623,1,96,2,1,11,3
12105627,1,6,1,-2,2,5
12105644,1,80,9,5,6,3
12105654,1,80,2,2,3,1
12105671,1,32,7,4,10,3
12105682,1,32,7,2,3,1
12105685,1,5,8,3,5,1
12105689,1,6,2,2,3,2
12105706,1,32,8,1,3,1
12105707,1,5,8,1,5,1
12105716,1,5,8,4,4,3
12105717,1,6,3,1,3,3
12105727,1,80,9,1,3,1
12105741,1,32,5,3,4,2
12105753,1,6,2,-2,6,6
12105763,1,80,2,2,5,2
12105773,1,32,5,2,4,2
12105786,1,80,9,4,4,1
12105796,1,5,9,5,5,2
12105797,2,32,9,3,3,1
12105836,4,4,2,1,6,1
12105846,1,32,8,4,4,1
12105868,1,80,3,2,8,1
12105869,1,6,3,2,2,3
12105872,1,6,2,-2,1,3
12105873,1,2,4,5,3,2
12105891,1,80,9,3,5,1
12105896,1,6,2,1,2,2
12105909,1,80,2,1,4,1
12105926,1,6,1,-2,4,3
